NElemDir,POrder,NNZ,NEq,Solver,Threads,FactzTime_s,F_SpeedUP,SolveTime_s,S_SpeedUP,SolvPZTime_s,SPZ_SpeedUP
550,5,189084501,7568001,Pardiso,1,11.7298,1,1.518064,1,31.664358,1
550,5,189084501,7568001,Pardiso,2,6.71822,1.745968426,1.202284,1.262650089,25.30436,1.251340006
550,5,189084501,7568001,Pardiso,4,3.88934,3.015884443,1.13899,1.332815916,21.9962975,1.439531267
550,5,189084501,7568001,Pardiso,8,2.92679,4.007735437,1.114806,1.361729305,21.0333465,1.505436047
550,5,189084501,7568001,Pardiso,16,3.59417,3.263562937,1.249583,1.214856476,22.4257609,1.411963596
550,5,189084501,7568001,MUMPS,1,13.4013,1,1.1737,1,35.495695,1
550,5,189084501,7568001,MUMPS,2,9.6606,1.387211974,0.8241,1.424220362,31.8794259,1.113435829
550,5,189084501,7568001,MUMPS,4,6.2883,2.131148323,0.6476,1.812384188,27.5511939,1.28835415
550,5,189084501,7568001,MUMPS,8,4.8614,2.756675032,0.5629,2.085095044,26.1157013,1.359170661
550,5,189084501,7568001,MUMPS,16,4.0995,3.269008416,0.5841,2.009416196,25.1836797,1.409472143
